"tip_name","accession_num"
"KY073745_1_NL63_related_bat_coronavirus_strain_BtKYNL63_9b","KY073745_1"
"NC_048216_1_NL63_related_bat_coronavirus_strain_BtKYNL63_9b","NC_048216"
"KY073746_1_NL63_related_bat_coronavirus_strain_BtKYNL63_15","KY073746_1"
"NC_032107_1_NL63_related_bat_coronavirus_strain_BtKYNL63_9a","NC_032107"
"KY073744_1_NL63_related_bat_coronavirus_strain_BtKYNL63_9a","KY073744_1"
"NC_005831_2_Human_Coronavirus_NL63","NC_005831"
"KJ473799_1_BtMf-AlphaCoV_FJ2012","KJ473799_1"
"KJ473800_1_BtMf-AlphaCoV_HeN2013","KJ473800_1"
"KJ473798_1_BtMf-AlphaCoV_HuB2013","KJ473798_1"
"NC_010438_1_Bat_coronavirus_HKU8","NC_010438"
"EU420139_1_Bat_coronavirus_HKU8_strain_AFCD77","EU420139_1"
"KJ473797_1_BtMf-AlphaCoV_GD2012","KJ473797_1"
"MN611518_1_Miniopterus_pusillus_bat_coronavirus_HKU8-related_isolate_6610","MN611518_1"
"MN611524_1_Miniopterus_schreibersii_bat_coronavirus_1-related_isolate_161454","MN611524_1"
"KJ473796_1_BtMf-AlphaCoV_JX2012","KJ473796_1"
"NC_010437_1_Bat_coronavirus_1A","NC_010437"
"EU420138_1_Miniopterus_bat_coronavirus_1","EU420138_1"
"KJ473795_1_BtMf-AlphaCoV_AH2011","KJ473795_1"
"EU420137_1_Bat_coronavirus_1B_strain_AFCD307","EU420137_1"
"KJ473810_1_BtMs-AlphaCoV_GS2013","KJ473810_1"
"KJ473807_1_BtRf-AlphaCoV_HuB2013","KJ473807_1"
"NC_028814_1_BtRf-AlphaCoV_HuB2013","NC_028814"
"MZ081385_1_Alphacoronavirus_sp__strain_bat_Yunnan_MmYN16_2020","MZ081385_1"
"MZ081386_1_Alphacoronavirus_sp__strain_bat_Yunnan_RsYN12_2019","MZ081386_1"
"MZ081384_1_Alphacoronavirus_sp__strain_bat_Yunnan_HcYN26_2020","MZ081384_1"
"MZ081387_1_Alphacoronavirus_sp__strain_bat_Yunnan_RmYN21_2020","MZ081387_1"
"MK720945_1_Rhinolophus_bat_coronavirus_HKU32_strain_TLC26A","MK720945_1"
"MK720946_1_Rhinolophus_bat_coronavirus_HKU32_strain_TLC28A","MK720946_1"
"MK211373_1_Coronavirus_BtRs_AlphaCoV_YN2018","MK211373_1"
"MZ081388_1_Alphacoronavirus_sp__strain_bat_Yunnan_HlYN23_2020","MZ081388_1"
"MN611525_1_Hipposideros_pomona_bat_coronavirus_CHB25_isolate_CHB0025","MN611525_1"
"MZ081389_1_Alphacoronavirus_sp__strain_bat_Yunnan_HlYN10_2019","MZ081389_1"
"MZ081391_1_Alphacoronavirus_sp__strain_bat_Yunnan_RmYN22_2020","MZ081391_1"
"MZ081390_1_Alphacoronavirus_sp__strain_bat_Yunnan_HpYN13_2019","MZ081390_1"
"JQ989266_1_Hipposideros_bat_coronavirus_HKU10_isolate_TT3A","JQ989266_1"
"JQ989267_1_Hipposideros_bat_coronavirus_HKU10_isolate_SL12A","JQ989267_1"
"JQ989268_1_Hipposideros_bat_coronavirus_HKU10_isolate_TLC1310A","JQ989268_1"
"JQ989269_1_Hipposideros_bat_coronavirus_HKU10_isolate_LSH5A","JQ989269_1"
"JQ989272_1_Hipposideros_bat_coronavirus_HKU10_isolate_TLC1343A","JQ989272_1"
"JQ989273_1_Hipposideros_bat_coronavirus_HKU10_isolate_TLC1347A","JQ989273_1"
"JQ989270_1_Rousettus_bat_coronavirus_HKU10_isolate_183A","JQ989270_1"
"NC_018871_1_Rousettus_bat_coronavirus_HKU10","NC_018871"
"JQ989271_1_Rousettus_bat_coronavirus_HKU10_isolate_175A","JQ989271_1"
"MN611523_1_Hipposideros_pomona_bat_coronavirus_HKU10_related_isolate_160942","MN611523_1"
