tip_label,accession_num,strain,host,bat_host,country,collection_date,collection_year,title,sub_group
Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240,OK067321,NA,Rousettus_madagascariensis,1,Madagascar,2018-09-11,2018,Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240,Nobecovirus
Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178,OK067320,NA,Rousettus_madagascariensis,1,Madagascar,2018-04-14,2018,Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178,Nobecovirus
Rousettus_madagascariensis_RR034B_244_fecRa_MIZ170,OK020089,NA,Rousettus_madagascariensis,1,Madagascar,2018-04-13,2018,Rousettus_madagascariensis_RR034B_244_fecRa_MIZ170,Nobecovirus
Pteropus_rufus_RR034B_010_fecRa_AMB130,OK067319,NA,Pteropus_rufus,1,Madagascar,2018-02-26,2018,Pteropus_rufus_RR034B_010_fecRa_AMB130,Nobecovirus
Pteropus_rufus_KP696742_1,KP696742,NA,Pteropus_rufus,1,Madagascar,2010-06-10,2010,"Bat coronavirus ANK036F RNA-dependent RNA polymerase gene, partial cds",Nobecovirus
Pteropus_rufus_KP696743_1,KP696743,NA,Pteropus_rufus,1,Madagascar,2010-06-10,2010,"Bat coronavirus ANK047F RNA-dependent RNA polymerase gene, partial cds",Nobecovirus
Pteropus_rufus_KP696747_1,KP696747,NA,Pteropus_rufus,1,Madagascar,2011-07-11,2011,"Bat coronavirus ANK081F RNA-dependent RNA polymerase gene, partial cds",Nobecovirus
Pteropus_rufus_KP696744_1_Bat_coronavirus,KP696744,NA,Pteropus_rufus,1,Madagascar,2011-07-11,2011,"Bat coronavirus BEM073F RNA-dependent RNA polymerase gene, partial cds",Nobecovirus
Pteropus_rufus_RR034B_021_AMB141,OK020087,NA,Pteropus_rufus,1,Madagascar,2018-04-16,2018,Pteropus_rufus_RR034B_021_AMB141,Nobecovirus
Pteropus_rufus_KP696745_1,KP696745,NA,Pteropus_rufus,1,Madagascar,2011-07-11,2011,"Bat coronavirus BEM074F RNA-dependent RNA polymerase gene, partial cds",Nobecovirus
Pteropus_rufus_KP696746_1,KP696746,NA,Pteropus_rufus,1,Madagascar,2011-07-11,2011,"Bat coronavirus BEM077F RNA-dependent RNA polymerase gene, partial cds",Nobecovirus
Pteropus_rufus_KP696741_1,KP696741,NA,Pteropus_rufus,1,Madagascar,2010-06-10,2010,"Bat coronavirus BEM001F RNA-dependent RNA polymerase gene, partial cds",Nobecovirus
Cy_sphinx_KU182962_1_China,KU182962,NA,Cynopterus_sphinx,1,China,2005-06-27,2005,"Bat coronavirus isolate GLCC5 P1ab gene, partial cds",Nobecovirus
MG693170_1_Eidolon_helvum_Cameroon,MG693170,HKU9,Eidolon_helvum,1,Cameroon,2013-07-15,2013,NA,Nobecovirus
Rousettus_madagascariensis_RR034B_220_fecRa_MIZ165,OK020088,NA,Rousettus_madagascariensis,1,Madagascar,2018-07-15,2018,NA,Nobecovirus
HM211099_1_HKU_9_5_1_Rousettus_leschenaulti_China,HM211099,HKU9,Rousettus_leschenaulti,1,China,2005-07-15,2005,NA,Nobecovirus
EF065514_1_HKU_9_2_Rousettus_leschenaulti_China,EF065514,HKU9,Rousettus_leschenaulti,1,China,2005-07-15,2005,NA,Nobecovirus
HQ728482_1_Eidolon_helvum_Kenya,HQ728482,NA,Eidolon_helvum,1,Kenya,2006-07-15,2006,NA,Nobecovirus
NC_048212_1_Eidolon_helvum_Cameroon,NC_048212,NA,Eidolon_helvum,1,Cameroon,2013-07-15,2013,NA,Nobecovirus
MG693172_1_Eidolon_helvum_Cameroon,MG693172,NA,Eidolon_helvum,1,Cameroon,2013-07-15,2013,NA,Nobecovirus
MG693171_1_Eidolon_helvum_Cameroon,MG693171,NA,Eidolon_helvum,1,Cameroon,2013-07-15,2013,NA,Nobecovirus
MG693169_1_Eidolon_helvum_Cameroon,MG693169,NA,Eidolon_helvum,1,Cameroon,2013-07-15,2013,NA,Nobecovirus
HM211100_1_HKU_9_10_1_Rousettus_leschenaulti_China,HM211100,HKU9,Rousettus_leschenaulti,1,China,2006-07-15,2006,NA,Nobecovirus
MT350598_1_GCCDC1_Eonycteris_spelaea_Singapore,MT350598,GCCDC1,Eonycteris_spelaea,1,Singapore,2016-07-15,2016,NA,Nobecovirus
NC_030886_GCCDC1_356_Rousettus_leschenaulti_China,NC_030886,GCCDC1,Rousettus_leschenaulti,1,China,2014-07-15,2014,NA,Nobecovirus
NC_009021_1_HKU9_Rousettus_leschenaulti_China,NC_009021,HKU9,Rousettus_leschenaulti,1,China,2005-07-15,2005,NA,Nobecovirus
MK211379_1_GX2018_Rhinolophus_affinis_China,MK211379,GX2018,Rhinolophus_affinis,1,China,2016-07-15,2016,NA,Nobecovirus
EF065516_1_HKU_9_4_Rousettus_leschenaulti_China,EF065516,HKU9,Rousettus_leschenaulti,1,China,2005-07-15,2005,NA,Nobecovirus
MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore,MK492263,BtCoV92,Cynopteris_brachyotis,1,Singapore,2015-07-15,2015,NA,Nobecovirus
MG762674_1_HKU9_Rousettus_sp_China,MG762674,HKU9,Rousettus_sp,1,China,2009-07-15,2009,NA,Nobecovirus
EF065515_1_HKU_9_3_Rousettus_leschenaulti_China,EF065515,HKU9,Rousettus_leschenaulti,1,China,2005-07-15,2005,NA,Nobecovirus
HM211098_1_HKU_9_5_1_Rhinolphus_sinicus_China,HM211098,HKU9,Rhinolophus_sinicus,1,China,2005-07-15,2005,NA,Nobecovirus
