FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\AAAlignmentNoInsertion.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","Rousettus_madagascariensis","Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_-_ORF1a_-_Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_-_ORF1b_-_Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_AllTranslate_and_1_other_sequence","Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_ORF1a_-_Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_ORF1b_-_Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_S_and_4_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_3_other_sequences"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1a_-_NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1b_-_NC_048212_1_Eidolon_helvum_Cameroon_-_S_-_NC_048212_1_Eidolon_helvum_Cameroon_-_NS3_-_NC_048212_1_Eidolon_helvum_Cameroon_-_E_and_2_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Query","Pteropus_rufus"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1a_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1b_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_S_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_NS3_and_3_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"


"CenterPos","Rousettus_madagascariensis","Eidolon_helvum","HKU9"
"101","1.00","1.00","1.00"
"121","1.00","1.00","1.00"
"141","1.00","1.00","1.00"
"161","1.00","1.00","1.00"
"181","1.00","1.00","1.00"
"201","1.00","1.00","1.00"
"221","1.00","1.00","1.00"
"241","1.00","1.00","1.00"
"261","0.48","0.44","0.67"
"281","0.48","0.44","0.67"
"301","0.59","0.56","0.71"
"321","0.63","0.60","0.71"
"341","0.62","0.59","0.68"
"361","0.59","0.56","0.64"
"381","0.59","0.56","0.64"
"401","0.59","0.56","0.64"
"421","0.59","0.56","0.64"
"441","0.59","0.56","0.64"
"461","0.59","0.56","0.64"
"481","0.59","0.56","0.64"
"501","0.59","0.56","0.64"
"521","0.59","0.56","0.64"
"541","0.59","0.56","0.64"
"561","0.59","0.56","0.64"
"581","0.59","0.56","0.64"
"601","0.59","0.56","0.64"
"621","0.59","0.56","0.64"
"641","0.59","0.56","0.64"
"661","0.59","0.56","0.64"
"681","0.59","0.56","0.64"
"701","0.59","0.56","0.64"
