FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\N-Gene-Translation-Alignment.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","Rousettus_madagascariensis"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_N"
"Ref","GC2018-BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_N"
"Ref","Pteropus_rufus","Pteropus_rufus_RR034B_010_fecRa_AMB130_-_N"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_N"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_N"


"CenterPos","Eidolon_helvum","GC2018-BtCoV92","Pteropus_rufus","GCCDC1","HKU9"
"101","1.00","1.00","1.00","1.00","1.00"
"121","0.95","0.84","0.83","0.80","0.85"
"141","0.95","0.84","0.83","0.80","0.85"
"161","0.95","0.86","0.83","0.83","0.87"
"181","0.94","0.83","0.82","0.79","0.84"
"201","0.96","0.86","0.85","0.82","0.86"
"221","0.99","0.90","0.86","0.85","0.89"
"241","0.99","0.87","0.84","0.79","0.87"
"261","0.97","0.84","0.82","0.78","0.85"
"281","0.97","0.86","0.86","0.79","0.90"
"301","0.97","0.85","0.86","0.81","0.89"
"321","0.97","0.85","0.86","0.81","0.89"
"341","0.97","0.85","0.86","0.81","0.89"
"361","0.97","0.85","0.86","0.81","0.89"
"381","0.97","0.85","0.86","0.81","0.89"
