FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\ORF1b_Translation-Alignment.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","Rousettus_madagascariensis"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1b"
"Ref","GX2018-BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1b"
"Ref","Pteropus_rufus","Pteropus_rufus_RR034B_010_fecRa_AMB130_-_ORF1b"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1b"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1b"


"CenterPos","Eidolon_helvum","GX2018-BtCoV92","Pteropus_rufus","HKU9","GCCDC1"
"101","1.00","0.98","0.95","0.98","0.98"
"121","1.00","0.98","0.93","0.98","0.95"
"141","1.00","0.98","0.93","0.98","0.95"
"161","1.00","0.95","0.90","0.97","0.92"
"181","1.00","0.96","0.89","0.97","0.92"
"201","1.00","0.97","0.89","0.99","0.94"
"221","1.00","0.97","0.91","0.99","0.94"
"241","1.00","0.97","0.91","0.99","0.94"
"261","1.00","0.97","0.93","0.97","0.94"
"281","1.00","0.97","0.93","0.97","0.95"
"301","1.00","0.98","0.93","0.98","0.95"
"321","1.00","0.98","0.95","0.97","0.98"
"341","1.00","0.97","0.96","0.95","0.96"
"361","1.00","1.00","0.97","0.96","0.99"
"381","1.00","1.00","0.99","0.96","0.99"
"401","1.00","1.00","0.97","0.96","0.99"
"421","1.00","1.00","0.97","0.96","0.99"
"441","1.00","1.00","0.97","0.96","0.99"
"461","1.00","1.00","0.98","0.98","0.99"
"481","1.00","0.99","0.95","0.98","0.99"
"501","1.00","0.99","0.95","0.98","0.99"
"521","1.00","0.99","0.95","0.98","0.99"
"541","1.00","0.98","0.95","0.98","0.99"
"561","1.00","0.98","0.97","0.98","0.99"
"581","1.00","0.98","0.97","0.98","0.99"
"601","1.00","0.98","0.96","0.98","0.99"
"621","1.00","0.97","0.94","0.97","0.98"
"641","1.00","0.95","0.91","0.97","0.97"
"661","1.00","0.95","0.90","0.96","0.95"
"681","1.00","0.96","0.90","0.95","0.93"
"701","1.00","0.95","0.91","0.93","0.93"
"721","1.00","0.95","0.90","0.93","0.93"
"741","1.00","0.96","0.90","0.96","0.95"
"761","1.00","0.96","0.89","0.96","0.95"
"781","1.00","0.95","0.87","0.95","0.94"
"801","1.00","0.94","0.87","0.94","0.92"
"821","1.00","0.92","0.84","0.92","0.91"
"841","1.00","0.93","0.89","0.92","0.93"
"861","1.00","0.93","0.90","0.92","0.95"
"881","1.00","0.92","0.91","0.92","0.94"
"901","1.00","0.93","0.89","0.94","0.94"
"921","1.00","0.94","0.88","0.94","0.94"
"941","1.00","0.94","0.86","0.94","0.94"
"961","1.00","0.92","0.85","0.92","0.91"
"981","1.00","0.93","0.86","0.93","0.92"
"1001","1.00","0.93","0.87","0.94","0.93"
"1021","1.00","0.95","0.90","0.96","0.95"
"1041","1.00","0.92","0.85","0.95","0.91"
"1061","1.00","0.92","0.84","0.95","0.91"
"1081","1.00","0.93","0.82","0.96","0.93"
"1101","1.00","0.90","0.82","0.94","0.89"
"1121","1.00","0.89","0.84","0.93","0.87"
"1141","1.00","0.90","0.85","0.94","0.88"
"1161","1.00","0.91","0.88","0.95","0.91"
"1181","1.00","0.89","0.87","0.95","0.89"
"1201","1.00","0.91","0.87","0.94","0.88"
"1221","1.00","0.91","0.88","0.94","0.88"
"1241","1.00","0.95","0.89","0.96","0.92"
"1261","1.00","0.95","0.85","0.96","0.92"
"1281","1.00","0.95","0.88","0.96","0.92"
"1301","1.00","0.97","0.90","0.97","0.96"
"1321","1.00","0.98","0.88","0.98","0.96"
"1341","1.00","0.96","0.87","0.96","0.94"
"1361","1.00","0.96","0.87","0.96","0.95"
"1381","1.00","0.96","0.86","0.95","0.95"
"1401","1.00","0.96","0.89","0.96","0.96"
"1421","1.00","0.96","0.85","0.96","0.94"
"1441","1.00","0.96","0.87","0.92","0.94"
"1461","1.00","0.96","0.91","0.92","0.94"
"1481","1.00","0.96","0.89","0.91","0.94"
"1501","1.00","0.97","0.89","0.92","0.93"
"1521","1.00","0.97","0.91","0.93","0.94"
"1541","1.00","0.99","0.93","0.94","0.95"
"1561","1.00","0.96","0.89","0.91","0.92"
"1581","1.00","0.97","0.90","0.92","0.93"
"1601","1.00","0.95","0.88","0.90","0.91"
"1621","1.00","0.94","0.91","0.89","0.92"
"1641","1.00","0.94","0.91","0.94","0.92"
"1661","1.00","0.95","0.91","0.94","0.89"
"1681","1.00","0.93","0.92","0.93","0.90"
"1701","1.00","0.94","0.92","0.94","0.91"
"1721","1.00","0.93","0.92","0.93","0.92"
"1741","1.00","0.92","0.89","0.93","0.90"
"1761","1.00","0.93","0.92","0.95","0.90"
"1781","1.00","0.92","0.89","0.93","0.88"
"1801","1.00","0.93","0.90","0.94","0.87"
"1821","1.00","0.89","0.89","0.93","0.85"
"1841","1.00","0.89","0.91","0.93","0.85"
"1861","1.00","0.89","0.87","0.92","0.87"
"1881","1.00","0.89","0.84","0.93","0.86"
"1901","1.00","0.88","0.81","0.92","0.85"
"1921","1.00","0.88","0.81","0.92","0.85"
"1941","1.00","0.89","0.81","0.91","0.86"
"1961","1.00","0.89","0.80","0.91","0.89"
"1981","1.00","0.91","0.83","0.91","0.91"
"2001","1.00","0.91","0.82","0.91","0.93"
"2021","1.00","0.94","0.84","0.94","0.96"
"2041","1.00","0.94","0.82","0.94","0.96"
"2061","1.00","0.94","0.83","0.94","0.96"
"2081","1.00","0.93","0.87","0.94","0.94"
"2101","1.00","0.93","0.89","0.94","0.94"
"2121","1.00","0.91","0.85","0.92","0.90"
"2141","1.00","0.91","0.87","0.93","0.90"
"2161","1.00","0.91","0.87","0.93","0.88"
"2181","1.00","0.91","0.87","0.93","0.88"
"2201","1.00","0.91","0.87","0.93","0.88"
"2221","1.00","0.91","0.87","0.93","0.88"
"2241","0.99","0.87","0.78","0.85","0.85"
"2261","0.99","0.87","0.78","0.85","0.85"
"2281","0.99","0.88","0.76","0.86","0.83"
"2301","0.99","0.84","0.75","0.86","0.80"
"2321","0.99","0.86","0.75","0.88","0.84"
"2341","0.99","0.86","0.74","0.88","0.86"
"2361","0.99","0.89","0.79","0.89","0.87"
"2381","1.00","0.88","0.83","0.90","0.86"
"2401","1.00","0.87","0.79","0.89","0.84"
"2421","1.00","0.92","0.82","0.95","0.86"
"2441","1.00","0.91","0.88","0.95","0.87"
"2461","1.00","0.90","0.91","0.95","0.89"
"2481","1.00","0.91","0.92","0.95","0.91"
"2501","1.00","0.92","0.91","0.94","0.93"
"2521","1.00","0.91","0.93","0.94","0.92"
"2541","1.00","0.92","0.93","0.94","0.92"
"2561","1.00","0.92","0.92","0.95","0.92"
"2581","0.99","0.93","0.89","0.94","0.92"
