FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\ORF1b_Translation-Alignment.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","Rousettus_madagascariensis","Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_-_ORF1b","Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_ORF1b"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1b"
"Ref","GX2018-BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1b"
"Query","Pteropus_rufus"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1b"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1b"


"CenterPos","Rousettus_madagascariensis","Eidolon_helvum","GX2018-BtCoV92","HKU9","GCCDC1"
"101","0.95","0.95","0.93","0.93","0.93"
"121","0.93","0.93","0.91","0.91","0.90"
"141","0.93","0.93","0.91","0.91","0.90"
"161","0.90","0.90","0.86","0.86","0.83"
"181","0.89","0.89","0.86","0.85","0.82"
"201","0.89","0.89","0.88","0.87","0.84"
"221","0.91","0.91","0.89","0.89","0.86"
"241","0.91","0.91","0.89","0.89","0.86"
"261","0.93","0.93","0.91","0.89","0.88"
"281","0.93","0.93","0.91","0.89","0.88"
"301","0.93","0.93","0.92","0.90","0.89"
"321","0.95","0.95","0.93","0.92","0.92"
"341","0.96","0.96","0.95","0.91","0.93"
"361","0.97","0.97","0.97","0.94","0.97"
"381","0.99","0.99","0.99","0.96","0.99"
"401","0.97","0.97","0.97","0.95","0.97"
"421","0.97","0.97","0.97","0.95","0.97"
"441","0.97","0.97","0.97","0.95","0.97"
"461","0.98","0.98","0.98","0.96","0.98"
"481","0.95","0.95","0.97","0.94","0.95"
"501","0.95","0.95","0.96","0.94","0.95"
"521","0.95","0.95","0.96","0.94","0.95"
"541","0.95","0.95","0.95","0.93","0.94"
"561","0.97","0.97","0.97","0.94","0.95"
"581","0.97","0.97","0.97","0.95","0.96"
"601","0.96","0.96","0.96","0.93","0.94"
"621","0.94","0.95","0.95","0.93","0.94"
"641","0.91","0.93","0.94","0.93","0.93"
"661","0.90","0.91","0.92","0.91","0.92"
"681","0.90","0.92","0.92","0.93","0.95"
"701","0.91","0.92","0.90","0.92","0.95"
"721","0.90","0.92","0.90","0.92","0.93"
"741","0.90","0.92","0.92","0.95","0.95"
"761","0.89","0.90","0.90","0.93","0.93"
"781","0.87","0.89","0.88","0.92","0.92"
"801","0.87","0.88","0.90","0.94","0.94"
