FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig4\SimPlot\AlignAllNobecoMinusInsertion.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China","HM211099_1_HKU_9_5_1_Rousettus_leschenaulti_China","HM211098_1_HKU_9_5_1_Rhinolphus_sinicus_China","MG762674_1_HKU9_Rousettus_sp_China","MG693170_1_Eidolon_helvum_Cameroon","EF065514_1_HKU_9_2_Rousettus_leschenaulti_China","HM211100_1_HKU_9_10_1_Rousettus_leschenaulti_China","EF065515_1_HKU_9_3_Rousettus_leschenaulti_China","EF065516_1_HKU_9_4_Rousettus_leschenaulti_China"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon","MG693172_1_Eidolon_helvum_Cameroon","MG693171_1_Eidolon_helvum_Cameroon","MG693169_1_Eidolon_helvum_Cameroon"
"Ref","Rousettus_madagascariensis","Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_new","Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_new"
"Query","Pteropus_rufus"


"CenterPos","HKU9","Eidolon_helvum","Rousettus_madagascariensis"
"100","100","0","0"
"120","100","0","0"
"140","100","0","0"
"160","100","0","0"
"180","100","0","0"
"200","100","0","0"
"220","100","0","0"
"240","100","0","0"
"260","100","0","0"
"280","100","0","0"
"300","99","1","0"
"320","99","1","0"
"340","100","0","0"
"360","100","0","0"
"380","100","0","0"
"400","99","1","0"
"420","100","0","0"
"440","100","0","0"
"460","100","0","0"
"480","100","0","0"
"500","100","0","0"
"520","100","0","0"
"540","100","0","0"
"560","100","0","0"
"580","100","0","0"
"600","99","0","1"
"620","93","0","7"
"640","82","0","18"
"660","96","0","4"
"680","78","0","22"
"700","79","0","21"
"720","90","0","10"
"740","83","1","16"
"760","73","0","27"
"780","98","0","2"
"800","82","0","18"
"820","100","0","0"
"840","100","0","0"
"860","100","0","0"
"880","100","0","0"
"900","100","0","0"
"920","100","0","0"
"940","100","0","0"
"960","100","0","0"
"980","99","1","0"
"1000","100","0","0"
"1020","100","0","0"
"1040","100","0","0"
"1060","98","1","1"
"1080","95","1","4"
"1100","94","2","4"
"1120","90","2","8"
"1140","96","0","4"
"1160","93","1","6"
"1180","94","1","5"
"1200","82","7","11"
"1220","88","6","6"
"1240","99","1","0"
"1260","99","1","0"
"1280","99","0","1"
"1300","100","0","0"
"1320","100","0","0"
"1340","99","0","1"
"1360","98","2","0"
"1380","100","0","0"
"1400","100","0","0"
"1420","100","0","0"
"1440","91","8","1"
"1460","100","0","0"
"1480","100","0","0"
"1500","100","0","0"
"1520","99","0","1"
"1540","100","0","0"
"1560","100","0","0"
"1580","97","1","2"
"1600","100","0","0"
"1620","100","0","0"
"1640","100","0","0"
"1660","100","0","0"
"1680","99","0","1"
"1700","100","0","0"
"1720","100","0","0"
"1740","100","0","0"
"1760","100","0","0"
"1780","100","0","0"
"1800","100","0","0"
"1820","100","0","0"
"1840","100","0","0"
"1860","100","0","0"
"1880","100","0","0"
"1900","100","0","0"
"1920","100","0","0"
"1940","100","0","0"
"1960","100","0","0"
"1980","100","0","0"
"2000","99","0","1"
"2020","100","0","0"
"2040","100","0","0"
"2060","96","2","2"
"2080","100","0","0"
"2100","98","1","1"
"2120","98","2","0"
"2140","100","0","0"
"2160","98","1","1"
"2180","93","5","2"
"2200","99","1","0"
"2220","98","2","0"
"2240","100","0","0"
"2260","99","1","0"
"2280","92","2","6"
"2300","100","0","0"
"2320","100","0","0"
"2340","94","0","6"
"2360","95","0","5"
"2380","98","0","2"
"2400","86","0","14"
"2420","99","0","1"
"2440","97","0","3"
"2460","99","0","1"
"2480","100","0","0"
"2500","100","0","0"
"2520","100","0","0"
"2540","100","0","0"
"2560","100","0","0"
"2580","100","0","0"
"2600","100","0","0"
"2620","100","0","0"
"2640","100","0","0"
"2660","100","0","0"
"2680","100","0","0"
"2700","100","0","0"
"2720","100","0","0"
"2740","100","0","0"
"2760","100","0","0"
"2780","100","0","0"
"2800","100","0","0"
"2820","100","0","0"
"2840","99","1","0"
"2860","98","2","0"
"2880","98","2","0"
"2900","96","2","2"
"2920","97","3","0"
"2940","97","3","0"
"2960","97","3","0"
"2980","98","1","1"
"3000","100","0","0"
"3020","100","0","0"
"3040","99","1","0"
"3060","100","0","0"
"3080","97","1","2"
"3100","96","1","3"
"3120","89","4","7"
"3140","99","0","1"
"3160","100","0","0"
"3180","100","0","0"
"3200","100","0","0"
"3220","100","0","0"
"3240","100","0","0"
"3260","100","0","0"
"3280","100","0","0"
"3300","100","0","0"
"3320","100","0","0"
"3340","100","0","0"
"3360","100","0","0"
"3380","100","0","0"
"3400","100","0","0"
"3420","100","0","0"
"3440","100","0","0"
"3460","99","0","1"
"3480","99","0","1"
"3500","100","0","0"
"3520","99","1","0"
"3540","98","1","1"
"3560","98","0","2"
"3580","99","0","1"
"3600","97","0","3"
"3620","98","0","2"
"3640","96","0","4"
"3660","95","0","5"
"3680","92","1","7"
"3700","96","0","4"
"3720","99","0","1"
"3740","100","0","0"
"3760","100","0","0"
"3780","100","0","0"
"3800","100","0","0"
"3820","100","0","0"
"3840","100","0","0"
"3860","100","0","0"
"3880","100","0","0"
"3900","89","7","4"
