FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\ORF1a_Translation-Alignment.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","Rousettus_madagascariensis"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1a"
"Ref","GX2018-BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1a"
"Ref","Pteropus_rufus","Pteropus_rufus_RR034B_010_fecRa_AMB130_-_ORF1a"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1a"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1a"


"CenterPos","Eidolon_helvum","GX2018-BtCoV92","Pteropus_rufus","GCCDC1","HKU9"
"101","1.00","1.00","1.00","1.00","1.00"
"121","1.00","1.00","1.00","1.00","1.00"
"141","1.00","1.00","1.00","1.00","1.00"
"161","1.00","1.00","1.00","1.00","1.00"
"181","1.00","1.00","1.00","1.00","1.00"
"201","1.00","1.00","1.00","1.00","1.00"
"221","1.00","1.00","1.00","1.00","1.00"
"241","1.00","1.00","1.00","1.00","1.00"
"261","1.00","1.00","1.00","1.00","1.00"
"281","1.00","1.00","1.00","1.00","1.00"
"301","1.00","1.00","1.00","1.00","1.00"
"321","1.00","0.79","0.66","0.86","0.80"
"341","1.00","0.79","0.66","0.86","0.80"
"361","1.00","0.79","0.66","0.86","0.80"
"381","1.00","0.79","0.66","0.86","0.80"
"401","1.00","0.79","0.66","0.86","0.80"
"421","1.00","0.79","0.66","0.86","0.80"
"441","1.00","0.79","0.66","0.86","0.80"
"461","1.00","0.79","0.66","0.86","0.80"
"481","1.00","0.79","0.66","0.86","0.80"
"501","1.00","0.79","0.66","0.86","0.80"
"521","1.00","0.79","0.66","0.86","0.80"
"541","1.00","0.79","0.66","0.86","0.80"
"561","1.00","0.79","0.66","0.86","0.80"
"581","1.00","0.79","0.66","0.86","0.80"
"601","1.00","0.79","0.66","0.86","0.80"
"621","1.00","0.79","0.66","0.86","0.80"
"641","1.00","0.79","0.66","0.86","0.80"
"661","1.00","0.79","0.66","0.86","0.80"
"681","1.00","0.79","0.66","0.86","0.80"
"701","1.00","0.79","0.66","0.86","0.80"
"721","1.00","0.79","0.66","0.86","0.80"
"741","1.00","0.79","0.66","0.86","0.80"
"761","1.00","0.79","0.66","0.86","0.80"
"781","1.00","0.79","0.66","0.86","0.80"
"801","1.00","0.79","0.66","0.86","0.80"
"821","1.00","0.79","0.66","0.86","0.80"
"841","1.00","0.79","0.66","0.86","0.80"
"861","1.00","0.79","0.66","0.86","0.80"
"881","1.00","0.79","0.66","0.86","0.80"
"901","1.00","0.79","0.66","0.86","0.80"
"921","1.00","0.79","0.66","0.86","0.80"
"941","1.00","0.79","0.66","0.86","0.80"
"961","1.00","0.79","0.66","0.86","0.80"
"981","1.00","0.79","0.66","0.86","0.80"
"1001","1.00","0.79","0.66","0.86","0.80"
"1021","1.00","0.79","0.66","0.86","0.80"
"1041","1.00","0.79","0.66","0.86","0.80"
"1061","1.00","0.79","0.66","0.86","0.80"
"1081","1.00","0.79","0.66","0.86","0.80"
"1101","1.00","0.79","0.66","0.86","0.80"
"1121","1.00","0.79","0.66","0.86","0.80"
"1141","1.00","0.79","0.66","0.86","0.80"
"1161","1.00","0.79","0.66","0.86","0.80"
"1181","1.00","0.79","0.66","0.86","0.80"
"1201","1.00","0.79","0.66","0.86","0.80"
"1221","1.00","0.79","0.66","0.86","0.80"
"1241","1.00","0.79","0.66","0.86","0.80"
"1261","1.00","0.79","0.66","0.86","0.80"
"1281","1.00","0.79","0.66","0.86","0.80"
"1301","1.00","0.79","0.66","0.86","0.80"
"1321","1.00","0.79","0.66","0.86","0.80"
"1341","1.00","0.79","0.66","0.86","0.80"
"1361","1.00","0.79","0.66","0.86","0.80"
