FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\AAAlignmentWNS7.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","Rousettus_madagascariensis","Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_-_ORF1a_-_Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_-_ORF1b_-_Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_AllTranslate_and_1_other_sequence","Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_ORF1a_-_Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_ORF1b_-_Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_S_and_4_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_3_other_sequences"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1a_-_NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1b_-_NC_048212_1_Eidolon_helvum_Cameroon_-_S_-_NC_048212_1_Eidolon_helvum_Cameroon_-_NS3_-_NC_048212_1_Eidolon_helvum_Cameroon_-_E_and_2_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","GX2018-BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1a_-_MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1b_-_MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_S_and_4_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_3_other_sequences"
"Query","Pteropus_rufus"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1a_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1b_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_S_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_NS3_and_3_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1a_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1b_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_S_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_NS3_and_3_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_3_other_sequences"


"CenterPos","Rousettus_madagascariensis","Eidolon_helvum","GX2018-BtCoV92","HKU9","GCCDC1"
"101","1.00","1.00","1.00","1.00","1.00"
"121","1.00","1.00","1.00","1.00","1.00"
"141","1.00","1.00","1.00","1.00","1.00"
"161","1.00","1.00","1.00","1.00","1.00"
"181","1.00","1.00","1.00","1.00","1.00"
"201","1.00","1.00","1.00","1.00","1.00"
"221","1.00","1.00","1.00","1.00","1.00"
"241","1.00","1.00","1.00","1.00","1.00"
"261","1.00","1.00","1.00","1.00","1.00"
"281","1.00","1.00","1.00","1.00","1.00"
"301","1.00","1.00","1.00","1.00","1.00"
"321","0.66","0.66","0.71","0.73","0.67"
"341","0.66","0.66","0.71","0.73","0.67"
"361","0.66","0.66","0.71","0.73","0.67"
"381","0.66","0.66","0.71","0.73","0.67"
"401","0.66","0.66","0.71","0.73","0.67"
"421","0.66","0.66","0.71","0.73","0.67"
"441","0.66","0.66","0.71","0.73","0.67"
"461","0.66","0.66","0.71","0.73","0.67"
"481","0.66","0.66","0.71","0.73","0.67"
"501","0.66","0.66","0.71","0.73","0.67"
"521","0.66","0.66","0.71","0.73","0.67"
"541","0.66","0.66","0.71","0.73","0.67"
"561","0.66","0.66","0.71","0.73","0.67"
"581","0.66","0.66","0.71","0.73","0.67"
"601","0.66","0.66","0.71","0.73","0.67"
"621","0.66","0.66","0.71","0.73","0.67"
"641","0.66","0.66","0.71","0.73","0.67"
"661","0.66","0.66","0.71","0.73","0.67"
"681","0.66","0.66","0.71","0.73","0.67"
"701","0.66","0.66","0.71","0.73","0.67"
"721","0.66","0.66","0.71","0.73","0.67"
"741","0.66","0.66","0.71","0.73","0.67"
"761","0.66","0.66","0.71","0.73","0.67"
"781","0.66","0.66","0.71","0.73","0.67"
"801","0.66","0.66","0.71","0.73","0.67"
"821","0.66","0.66","0.71","0.73","0.67"
"841","0.66","0.66","0.71","0.73","0.67"
"861","0.66","0.66","0.71","0.73","0.67"
"881","0.66","0.66","0.71","0.73","0.67"
"901","0.66","0.66","0.71","0.73","0.67"
"921","0.66","0.66","0.71","0.73","0.67"
"941","0.66","0.66","0.71","0.73","0.67"
"961","0.66","0.66","0.71","0.73","0.67"
"981","0.66","0.66","0.71","0.73","0.67"
"1001","0.66","0.66","0.71","0.73","0.67"
"1021","0.66","0.66","0.71","0.73","0.67"
"1041","0.66","0.66","0.71","0.73","0.67"
"1061","0.66","0.66","0.71","0.73","0.67"
"1081","0.66","0.66","0.71","0.73","0.67"
"1101","0.66","0.66","0.71","0.73","0.67"
"1121","0.66","0.66","0.71","0.73","0.67"
"1141","0.66","0.66","0.71","0.73","0.67"
"1161","0.66","0.66","0.71","0.73","0.67"
"1181","0.66","0.66","0.71","0.73","0.67"
