tip_label,accession_num,strain,host,bat_host,country,collection_date,collection_year,title,sub_group
MH002337_1_Tylonycteris_bat_coronavirus_HKU4_isolate_CZ01,MH002337,HKU4,Tylonycteris_sp.,1,China,1/11/12,2012,Tylonycteris bat coronavirus HKU4 isolate CZ01,Merbecovirus
MH002338_1_Tylonycteris_bat_coronavirus_HKU4_isolate_CZ07,MH002338,HKU4,Tylonycteris_sp.,1,China,11/1/12,2012,Tylonycteris bat coronavirus HKU4 isolate CZ07,Merbecovirus
DQ648794_1_Bat_coronavirus_BtCoV_133_2005,DQ648794,BtCoV_133,Tylonycteris_pachypus,0,China,7/15/05,2005,Bat coronavirus (BtCoV/133/2005),Merbecovirus
MN611519_1_Tylonycteris_pachypus_bat_coronavirus_HKU4_related_isolate_GZ131656,MN611519,HKU4,Tylonycteris_pachypus,1,China,3/18/21,2021,Tylonycteris pachypus bat coronavirus HKU4-related isolate GZ131656,Merbecovirus
EF065508_1_Bat_coronavirus_HKU4_4,EF065508,HKU4,Tylonycteris_pachypus,1,China,7/15/05,2005,Bat coronavirus HKU4-4,Merbecovirus
MH002339_1_Tylonycteris_bat_coronavirus_HKU4_isolate_SZ140324,MH002339,HKU4,Tylonycteris_sp.,1,China,4/23/14,2014,Tylonycteris bat coronavirus HKU4 isolate SZ140324,Merbecovirus
MW218395_1_Tylonycteris_bat_coronavirus_HKU4_isolate_SM3A,MW218395,HKU4,Tylonycteris_pachypus,1,Hong_Kong,8/16/10,2010,Tylonycteris bat coronavirus HKU4 isolate SM3A,Merbecovirus
EF065506_1_Bat_coronavirus_HKU4_2,EF065506,HKU4,Tylonycteris_pachypus,1,China,7/15/05,2005,Bat coronavirus HKU4-2,Merbecovirus
EF065507_1_Bat_coronavirus_HKU4_3,EF065507,HKU4,Tylonycteris_pachypus,1,China,7/15/05,2005,Bat coronavirus HKU4-3,Merbecovirus
MN611520_1_Pipistrellus_abramus_bat_coronavirus_HKU5_related_isolate_BY140568,MN611520,HKU5,Pipistrellus_abramus,1,China,3/18/21,2021,Pipistrellus abramus bat coronavirus HKU5-related isolate BY140568,Merbecovirus
MH002340_1_Pipistrellus_bat_coronavirus_HKU5_isolate_BY140535,MH002340,HKU5,Pipistrellus_sp.,1,China,6/26/14,2014,Pipistrellus bat coronavirus HKU5 isolate BY140535,Merbecovirus
MH002342_1_Pipistrellus_bat_coronavirus_HKU5_isolate_YD13403,MH002342,HKU5,Pipistrellus_sp.,1,China,6/3/13,2013,Pipistrellus bat coronavirus HKU5 isolate YD13403,Merbecovirus
KJ473820_1_BtPa_BetaCoV_GD2013,KJ473820,NA,Pipistrellus_abramus,1,China,7/15/13,2013,BtPa-BetaCoV/GD2013,Merbecovirus
MH002341_1_Pipistrellus_bat_coronavirus_HKU5_isolate_BY140562,MH002341,HKU5,Pipistrellus_sp.,1,China,6/28/14,2014,Pipistrellus bat coronavirus HKU5 isolate BY140562,Merbecovirus
EF065511_1_Bat_coronavirus_HKU5_3,EF065511,HKU5,Pipistrellus_abramus,1,China,7/15/05,2005,Bat coronavirus HKU5-3,Merbecovirus
EF065512_1_Bat_coronavirus_HKU5_5,EF065512,HKU5,Pipistrellus_abramus,1,China,7/15/05,2005,Bat coronavirus HKU5-5,Merbecovirus
EF065510_1_Bat_coronavirus_HKU5_2,EF065510,HKU5,Pipistrellus_abramus,1,China,7/15/05,2005,Bat coronavirus HKU5-2,Merbecovirus
MK211379_1_Coronavirus_BtRt_BetaCoV_GX2018,MK211379,GX2018,Rhinolophus_affinis,1,China,9/16/21,2016,Coronavirus BtRt-BetaCoV/GX2018,Nobecovirus
EF065516_1_Bat_coronavirus_HKU9_4,EF065516,HKU9,Rousettus_leschenaulti,1,China,7/15/05,2005,Bat coronavirus HKU9-4,Nobecovirus
EF065515_1_Bat_coronavirus_HKU9_3,EF065515,HKU9,Rousettus_leschenaulti,1,China,7/15/05,2005,Bat coronavirus HKU9-3,Nobecovirus
HM211098_1_Bat_coronavirus_HKU9_5_1,HM211098,HKU9,Rhinolophus_sinicus,1,China,12/11/05,2005,Bat coronavirus HKU9-5-1,Nobecovirus
HM211100_1_Bat_coronavirus_HKU9_10_1,HM211100,HKU9,Rousettus_leschenaulti,1,China,4/10/06,2006,Bat coronavirus HKU9-10-1,Nobecovirus
